distance,cargo_type,driver_exp,hour_of_day,is_weather_bad,risk_score
755.33,0,182,5,1,52
1901.92,0,95,23,0,68
1466.67,2,35,13,0,83
1201.33,0,113,7,0,35
320.48,2,36,20,0,62
320.43,0,239,20,0,15
125.59,1,13,13,0,55
1733.69,1,154,2,0,66
1206.22,0,122,15,0,45
1419.06,0,82,14,0,44
50.96,0,158,6,0,27
1940.12,1,237,14,0,58
1666.56,0,72,12,0,47
432.55,1,101,5,0,59
371.83,0,80,14,0,27
374.97,0,82,16,1,44
615.44,0,43,3,0,50
1054.27,0,67,21,1,56
869.57,0,47,21,0,41
589.55,2,56,13,0,63
1227.59,1,74,14,1,75
287.59,0,21,11,0,35
591.37,2,131,18,1,62
739.06,1,208,21,0,39
917.58,2,199,9,0,51
1572.5,0,45,5,0,70
407.35,0,186,8,1,40
1033.33,0,161,1,1,60
1188.9,1,10,3,0,91
102.44,0,30,8,0,31
1219.01,0,138,14,0,33
349.34,0,119,12,1,34
139.45,0,55,19,0,29
1898.28,1,37,7,0,75
1931.61,0,20,18,0,63
1618.71,0,109,18,0,37
616.18,1,93,15,0,51
204.37,2,137,10,1,54
1371.62,1,153,9,0,54
885.9,2,218,7,1,65
252.86,1,135,0,0,49
995.4,0,230,9,0,27
78.43,0,7,17,0,36
1819.55,1,187,2,0,67
524.97,1,71,10,1,67
1328.42,1,118,17,0,52
630.31,0,33,2,0,59
1044.94,0,143,7,0,23
1097.95,0,104,13,0,33
377.86,0,140,5,1,49
1939.47,0,86,14,0,53
1552.51,1,203,13,0,53
1879.6,0,218,6,0,58
1790.71,0,149,9,0,48
1199.82,0,223,14,0,33
1844.53,1,154,9,0,55
186.1,0,63,21,0,26
400.01,0,1,16,0,46
100.0,0,108,18,1,27
657.41,0,224,16,0,23
783.47,2,25,11,0,65
549.98,2,219,14,1,64
1659.19,0,82,11,0,48
719.94,0,106,8,1,47
569.06,1,68,4,1,78
1089.97,0,96,3,0,47
290.44,0,211,11,0,17
1606.37,0,29,15,0,55
158.36,2,236,8,0,40
1973.91,0,7,2,1,94
1546.77,0,37,20,0,56
405.44,1,188,2,0,47
20.99,0,80,17,0,19
1632.77,0,107,16,0,51
1416.65,2,64,9,1,89
1460.72,0,66,1,0,62
1544.83,1,173,23,0,68
157.35,0,89,10,1,32
723.35,0,94,23,0,56
240.58,0,71,2,0,38
1727.58,0,42,22,0,75
1250.36,0,186,22,0,47
668.49,1,45,1,1,88
136.48,0,199,8,0,13
628.85,0,124,18,0,22
657.11,0,162,1,0,29
1461.92,1,38,18,1,77
1278.74,0,219,1,0,46
1775.55,0,50,14,1,78
949.71,0,3,23,0,59
247.99,0,120,20,0,26
1429.36,0,79,2,1,81
1523.96,1,76,4,0,73
1126.94,0,211,10,0,25
1544.22,0,178,23,0,48
992.65,0,132,6,0,46
1050.24,1,54,5,0,74
860.81,0,228,13,0,24
60.58,0,19,0,0,45
224.7,0,151,16,1,29
72.54,0,163,16,0,14
1276.46,0,33,13,0,51
635.57,0,121,9,1,38
1022.06,0,108,7,0,38
1816.06,0,125,7,0,45
506.09,0,239,13,0,21
826.66,0,53,6,0,55
1513.55,0,161,5,0,55
465.31,1,210,3,0,53
163.19,2,144,0,0,58
586.61,2,132,14,0,46
330.83,2,88,14,0,48
1860.1,1,145,0,0,76
1618.16,1,182,19,0,53
1270.47,0,52,2,0,63
1744.21,1,49,22,0,84
1609.31,0,71,4,0,71
381.27,0,218,4,1,50
1786.19,1,206,3,1,85
1083.29,0,172,16,1,41
1616.81,0,140,20,0,37
1793.22,2,15,19,0,89
642.83,0,213,13,0,22
229.0,0,211,7,0,10
463.59,2,12,1,0,76
859.94,1,19,7,0,62
1637.85,0,65,0,0,71
1722.85,0,226,3,0,55
23.83,0,46,18,1,41
1026.39,2,146,4,0,64
840.65,0,172,4,1,52
451.99,0,164,20,0,21
248.53,0,121,19,1,29
681.85,0,53,23,0,60
1886.39,2,5,18,1,100
653.17,0,13,11,0,37
1042.39,1,131,19,0,48
1409.01,0,85,0,0,62
733.62,1,182,6,0,51
1943.85,2,230,16,1,87
1925.27,0,227,1,1,71
511.05,0,161,10,0,21
999.52,0,26,6,0,63
608.75,1,6,16,0,58
576.83,0,130,2,1,58
83.41,2,174,21,0,40
1223.03,1,224,5,0,56
1010.33,2,1,21,0,79
112.44,1,233,10,0,34
564.51,0,79,17,0,37
1817.45,0,152,17,0,38
486.73,0,59,21,0,40
298.34,2,206,9,0,43
984.01,1,23,4,0,74
1971.44,1,14,22,0,97
491.69,0,94,22,0,44
1347.55,0,141,20,0,30
1525.62,1,181,23,0,69
482.9,0,205,21,1,43
1459.15,0,133,14,1,58
741.89,1,205,20,1,53
1268.29,0,80,19,1,57
1270.72,0,17,22,0,70
1076.19,0,19,3,0,61
189.68,0,114,20,0,17
1672.25,2,189,20,1,71
648.35,0,208,0,0,38
381.17,0,207,14,0,15
91.14,0,39,16,0,32
1185.88,1,38,18,0,64
1358.35,0,179,13,0,29
43.01,0,31,18,1,46
1029.07,0,123,17,0,29
460.73,0,107,1,1,61
1293.89,0,200,5,0,44
356.99,1,26,12,0,50
1384.97,2,109,16,1,77
779.6,0,179,5,1,49
1874.09,0,96,20,0,51
283.67,2,190,21,0,34
688.72,0,73,4,0,49
235.81,1,190,6,0,45
1850.14,0,16,0,0,78
1755.91,2,48,12,1,88
523.3,1,227,18,0,39
1323.37,2,80,21,0,70
1636.27,1,209,0,0,69
1114.85,0,115,12,1,49
1064.0,2,22,10,1,93
491.29,0,97,6,0,46
195.27,0,71,19,0,30
1795.46,1,140,2,0,74
1801.83,1,150,0,0,66
1269.87,2,56,7,0,74
684.67,0,189,16,1,38
704.93,1,181,12,1,50
1454.65,1,147,13,0,47
1795.25,0,85,4,0,69
1775.3,0,238,23,0,55
1561.95,0,179,21,0,35
1287.64,0,22,22,0,75
177.44,2,104,23,0,63
331.64,1,162,5,0,47
1798.12,1,66,21,0,75
1216.79,2,33,5,0,92
28.3,0,32,20,0,27
211.93,1,45,7,0,44
1330.37,0,80,12,0,47
20.07,2,172,17,0,37
330.01,0,146,22,0,33
1101.98,2,221,3,1,79
1386.87,0,86,16,0,48
1307.4,0,14,4,1,85
456.3,1,122,2,0,55
1427.24,0,120,3,0,51
482.13,1,77,22,0,68
657.55,0,65,4,0,51
1495.52,1,38,13,1,83
1302.77,0,17,14,1,72
1699.95,0,197,19,1,58
1318.65,0,186,16,0,35
1140.93,0,159,5,0,40
196.41,0,20,9,0,39
741.75,0,167,21,0,21
537.75,0,219,22,0,34
495.54,0,26,15,1,45
1946.29,0,1,16,1,82
792.26,2,96,13,0,55
1785.17,0,207,19,0,43
1265.97,0,38,11,0,48
1591.67,1,213,8,0,46
1010.25,0,55,14,0,44
1158.04,1,106,11,1,66
990.11,0,126,13,0,28
398.53,0,238,21,0,17
1447.68,0,12,17,0,51
568.74,1,125,19,0,41
58.39,1,183,5,1,55
1294.49,0,193,3,0,46
362.45,0,205,22,1,50
1881.51,2,55,11,0,81
1908.32,0,229,12,0,44
1830.58,0,232,18,0,41
746.62,2,27,21,0,81
40.76,1,63,12,0,42
1857.35,0,70,11,0,51
862.09,1,209,19,0,47
1933.64,2,191,2,0,88
1927.6,0,183,2,1,73
1707.49,0,168,13,1,53
595.95,0,118,17,0,20
776.34,2,99,18,1,73
1703.76,1,40,9,0,70
640.67,0,227,16,0,17
347.29,2,235,14,0,44
1118.03,0,3,18,1,75
1872.95,0,184,8,0,40
1395.1,0,157,3,0,52
1144.42,0,87,14,0,41
203.38,2,83,18,0,51
1233.86,0,45,15,0,45
1980.21,1,183,7,0,58
288.77,0,158,16,0,10
1041.48,0,87,20,1,48
1755.97,2,6,0,1,100
1484.13,0,217,6,1,63
1397.06,0,76,20,0,43
1407.94,0,181,17,0,29
725.39,2,135,11,0,44
594.25,0,182,15,0,12
1620.63,0,196,0,1,68
1622.13,0,171,14,0,27
1735.47,0,140,6,1,73
1827.35,1,92,16,0,68
1027.57,0,19,2,1,79
1008.02,0,77,10,0,40
1598.61,0,159,5,0,51
1303.43,0,187,5,0,48
1406.91,2,177,14,0,60
1593.63,0,26,6,0,78
1781.11,2,119,10,0,77
682.61,0,24,16,0,48
757.41,0,51,22,1,66
197.02,2,195,17,0,41
1160.78,0,20,21,0,54
81.53,1,17,23,0,60
936.54,2,38,20,0,66
1089.86,0,14,18,0,50
580.22,0,52,7,0,32
1185.76,1,37,23,0,74
70.7,0,175,19,0,13
84.32,0,51,7,0,28
1646.98,0,215,20,0,38
726.78,0,71,10,0,39
262.85,1,27,20,0,49
1049.26,0,212,2,0,46
1542.29,0,143,22,0,50
439.48,1,117,13,0,35
1249.55,0,143,8,0,33
179.84,0,34,0,0,55
112.85,1,144,0,1,63
1067.4,0,200,11,0,33
1085.86,1,98,10,0,47
1278.49,2,51,20,0,74
1454.92,0,220,0,0,53
1951.95,0,230,19,0,52
1037.44,0,209,11,0,21
652.68,0,139,16,1,41
1592.42,2,82,14,0,78
